condition,environment,groupID,subjectID,groupSize,averagePerformance,optimalChoiceRate,optimalChoiceCount,totalRoundNum,taskDifficulty,groupSize_standerized,groupSize_centralized,groupSize_standerized2,groupSize_centralized2,choiceCount_poor,choiceCount_good1,choiceCount_good2,average_entropy,average_gini
6,environment 1,subRoom6_12_2,A13COBI91JOSZW,14,1,0,0,40,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,40,0,0,0.889875886758517,0.19047619047619
6,environment 2,subRoom6_12_2,A13COBI91JOSZW,14,1,0,0,29,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,29,0,0,0.923535392785556,0.186181634457496
6,e1+e2,subRoom6_12_2,A13COBI91JOSZW,14,1,0,0,69,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,69,0,0,0.904022635668432,0.188644688644689
6,environment 1,subRoom6_12_2,A1BNQ6H4SJZ2X5,14,1.3,0.3,12,40,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,10,12,18,0.889875886758517,0.19047619047619
6,environment 2,subRoom6_12_2,A1BNQ6H4SJZ2X5,14,2.1,0.466666666666667,14,30,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,11,5,14,0.924941315200423,0.184737484737485
6,e1+e2,subRoom6_12_2,A1BNQ6H4SJZ2X5,14,1.64285714285714,0.371428571428571,26,70,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,21,17,32,0.904903927519334,0.187981101024579
6,environment 1,subRoom6_12_2,A1T2162PMSEH0P,14,1.45,0.45,18,40,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,11,18,11,0.889875886758517,0.19047619047619
6,environment 2,subRoom6_12_2,A1T2162PMSEH0P,14,2,0.333333333333333,10,30,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,10,10,10,0.924941315200423,0.184737484737485
6,e1+e2,subRoom6_12_2,A1T2162PMSEH0P,14,1.68571428571429,0.4,28,70,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,21,28,21,0.904903927519334,0.187981101024579
6,environment 1,subRoom6_12_2,A1USC50FXMEUH1,14,1.425,0.425,17,40,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,12,17,11,0.889875886758517,0.19047619047619
6,environment 2,subRoom6_12_2,A1USC50FXMEUH1,14,2.06666666666667,0.4,12,30,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,10,8,12,0.924941315200423,0.184737484737485
6,e1+e2,subRoom6_12_2,A1USC50FXMEUH1,14,1.7,0.414285714285714,29,70,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,22,25,23,0.904903927519334,0.187981101024579
6,environment 1,subRoom6_12_2,A243MVNC6OLKBF,14,1.25,0.25,10,40,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,18,10,12,0.889875886758517,0.19047619047619
6,environment 2,subRoom6_12_2,A243MVNC6OLKBF,14,1.9,0.333333333333333,10,30,78%,0.118298524304651,0.934684684684685,0.458348668278697,3.57880794701987,13,7,10,0.924941315200423,0.184737484737485
